あそうぼう,勧誘遊び,,,
遊ぼう,勧誘遊び,,,
何でだよ,感情落胆,,,
なんでだよ,感情落胆,,,
こけこっこー,擬声音-鶏の鳴き声,,,
ハイ,再会挨拶,,,
話そう,勧誘会話,,,
お話ししよう,勧誘会話,,,
げんきですか,体調質問,,,
バイバーイ,別れ挨拶,,,
バイバイ,別れ挨拶,,,
はじめまして,初対面挨拶,,,
おはつ,初対面挨拶,,,
初めまして、よろしくお願いします,初対面挨拶,,,
初めまして,初対面挨拶,,,
ハロー,再会挨拶,,,
どきり,擬情語-どきり,,,
ふらり,擬容語-ふらり,,,
のろのろ,擬容語-のろのろ,,,
まいど,仕事挨拶,,,
また明日,別れ挨拶,,,
またね,別れ挨拶,,,
蒸し暑い,気温感想,,,
うろうろ,擬容語-うろうろ,,,
可愛いね,容姿褒め,,,
いいよ,良い評価,,,
やさしい,やさしい態度,,,
嬉しい,感情喜び,,,
楽しい,感情喜び,,,
幸せ,感情喜び,,,
うれしい,感情喜び,,,
よかった,感情共感,,,
おばんです,初対面挨拶,,,
げらげら,擬声音-笑い声,,,
バカ,軽蔑,,,
馬鹿,軽蔑,,,
おばかさん,軽蔑,,,
いらっしやいませ,歓迎挨拶,,,
元気かい,体調質問,,,
今後ともよろしくお願い致します,仕事別れ挨拶,,,
疲れた,感情倦怠,,,
悲しい,感情悲しみ,,,
どうなってるの,感情怒り,,,
どうなってるの,感情怒り,,,
辛い,感情悲しみ,,,
苦しい,感情悲しみ,,,
悲しいね,感情悲しみ,,,
寂しい,感情悲しみ,,,
ガンダムとはなんですか,ガンダム,,,
ガンダムについて教えてください,ガンダム,,,
ガンダムとは,ガンダム,,,
ガンダムは何,ガンダム,,,
ガンダム,ガンダム,,,
ガンダムの特徴は,ガンダム,,,
ガンダムについて教えて,ガンダム,,,
ガンキャノンとはなんですか,ガンダム,,,
ガンキャノンについて教えてください,ガンダム,,,
ガンキャノンとは,ガンダム,,,
ガンキャノンとは何,ガンダム,,,
ガンキャノン,ガンダム,,,
ガンキャノンの特徴は,ガンダム,,,
ガンキャノンついて教えて,ガンダム,,,
ザクとはなんですか,ガンダム,,,
アムロはどんな人ですか,ガンダム,,,
シャアはどんな人ですか,ガンダム,,,
ミライはどんな人ですか,ガンダム,,,
ブライトは指揮官ですか,ガンダム,,,
ミライとブライトは結婚しましたか,ガンダム,,,
ガンダムのパイロットは誰ですか,ガンダム,,,
ドムはなんですか,ガンダム,,,
グフはモビルスーツですか,ガンダム,,,
ゴッグは水陸両用モビルスーツですか,ガンダム,,,
ドムはホバーユニットを装備していますか,ガンダム,,,
ドムの武装には何がありますか,ガンダム,,,
初の水陸両用モビルスーツは何ですか,ガンダム,,,
ドムの地球侵攻を前提にしたモビルスーツですか,ガンダム,,,
アムロはニュータイプですか,ガンダム,,,
ザクはどんなモビルスーツですか,ガンダム,,,
モビルスーツとは何でか,ガンダム,,,
モビルスーツは何でか,ガンダム,,,
モビルスーツについて説明してください,ガンダム,,,
モビルスーツには何がありますか,ガンダム,,,
代表的なモビルスーツを挙げてください,ガンダム,,,
シャーとキャスバルは同じ人ですか,ガンダム,,,
セイラの本名は,ガンダム,,,
セイラが操縦した機体は,ガンダム,,,
ガンダムの頭部を掴んだ武器の名は,ガンダム,,,
ヒート・ロッドを装備するモビルスーツの名前は,ガンダム,,,
ドムのヒートサーベルの威力は,ガンダム,,,
ゲルググの開発経緯を説明してください,ガンダム,,,
ゲグググの設計について解説してください,ガンダム,,,
ゲルググのパイロットは誰,ガンダム,,,
ガンダムとドッキングさせて利用する装備は,ガンダム,,,
ジースカイとは何,ガンダム,,,
メガ粒子砲を搭載したモビルスーツは,ガンダム,,,
中距離支援用モビルスーツの名前は,ガンダム,,,
キャパピラを装備したモビルスーツの名前は,ガンダム,,,
コア・ブロック・システムを持つモビルスーツは,ガンダム,,,
ハロを作った人物は誰,ガンダム,,,
連邦のモビルスーツを列挙せよ,ガンダム,,,
ジオンのモビルスーつを列挙せよ,ガンダム,,,
アイアン・ネイルを装備するモビルスーツの名前は,ガンダム,,,
Ｖ作戦により開発されたモビルスーツの名前は,ガンダム,,,
白兵戦用の連邦のモビルスーツの名前は,ガンダム,,,
ルナ・チタニウム合金を使ったモビルスーツの名前は,ガンダム,,,
２名のパイロットが搭乗する連邦のモビルスーツの名前は,ガンダム,,,
マシンガンを装備しないジオン軍のモビルスーツの名前を挙げよ,ガンダム,,,
７３８機製造されたモビルスーツの名前は,ガンダム,,,
量産型として初のビーム・ライフルを装備したモビルスーツ名前は,ガンダム,,,
二つのパーツに分かれるモビルスーツの名前は,ガンダム,,,
ガンダムのパイロットの名前は,ガンダム,,,
ホワイトベースの館長の名前は,ガンダム,,,
ホワイトベースのパイロットは,ガンダム,,,
赤い彗星の異名を持つ人は,ガンダム,,,
バズーカを装備できる連邦のモビルスーツは,ガンダム,,,
黒い三連星と呼ばれたパイロットが操縦するモビルスーツは,ガンダム,,,
